Title,Message
Sup Transfer #1,"We are now going to proceed with the Supervisor transfer. 

When a call is routed to you.... the script will load on it's own. As soon as the whisper completes -- immediately greet your caller wearing a smile. Follow the script as written, and verify all data entered as you go. Any issues such as no script load or questions during the call please ask here in chat for assistance -- ok? (Once you're taking live calls it will be in the Welcome Team chat)"
Sup Transfer #2,"If the script is slow to load, use a generic greeting, such as: ""Thank you for calling to support WXYZ, my name is ________. One moment, our system is experiencing a slight delay."" By then, your script should be fully loaded and ready for you to continue. Please notify the CCM of this or any technical issues in the chat – today, that's in this ACD Certification Chat. Okay?"
Sup Request Instructions,"When you need to transfer, you will….

1) Ask in chat first before transferring - include the station, caller's name, and issue ex.: WXYZ, sup request, member's name, and member issue

2) Give the CCM time to check to see if a Supervisor is available

We never put our caller on hold so try to minimize dead air. 

3) When CCM says ok to transfer...

—Let your caller know you are transferring"
Transfer Instructions #1,"Once you have received Permission from the CCM to Transfer the call-

Click Transfer Button In CC

https://gyazo.com/d4039d8d764ad45da252c86d096a6489"
Transfer Instructions #2,"On the box that pops up, in the first box make sure it says ""Queue""

In the second box, select ""ACD Direct Supervisor""

(if you start typing ACD it will scroll to that section)

Be sure to close the call and let the caller know to please hold for the transfer.

Then click Blind Transfer, and the call will be transferred to the Supervisor.

https://gyazo.com/2971f576b153052395f7be7ac7e4b19b

https://gyazo.com/b7b946df7c0d6aa4d18729e00480e0b9"
Change DTE Status,"OK, so that you can receive the call I need to have you change your DTE to Ready status.

On DTE, click the Icon with the Person and Check Mark till it shows

“Ready” and is GREEN. And we will do the FIRST call.

https://gyazo.com/01a435d23c45e300087dd5c39d172fd5"
DTE Status,"Ok, I show your status as Ready on my end. I am now going to call. You should receive the call in a moment."
You May Transfer,You may transfer the call now.
Disposition,"Click the cancel button in the script (red phone) and disposition as Test / Training

- let me know when you have that please

Next, Please Disposition the call in Call Corp.

You will choose the option from the list that best matches what happened on the call. And then DTE will go back to “ Ready Status” automatically."
Stars Post-Sup Transfer ,WXYZ: Supervisor Test Call Being Queued
Passed All,"**:tada: Congratulations! Great job! You have successfully completed your test calls.  Watch your inbox for your step 4 final instructions - your Welcome Team TLMS information. Please log out of CallCorp and Simple Script with the Log Out links (never X out of these windows). Welcome to ACDD! Have a fabulous remainder of your day! • If you haven't already done so be sure to complete any additional courses assigned in your TLMS. Email certification@acdsupport.com for any questions on courses.• If you're signed up on any additional mock or testing shifts, please take a moment to go to Current Schedule under My Schedule in Gateway and remove them.
**Welcome to ACDD! Have a fabulous remainder of your day!** "
Failed 1st Sup Transfer,Unfortunately our call did not result in a successful transfer to a supervisor. Please take a moment to review the steps that we went through here in chat and let me know when you're ready to try again.
Failed Both Sup Transfers,"Unfortunately our call did not result in a successful transfer to a supervisor. Please review the steps in the presentation. Since both attempts at supervisor transfers this session were not successful, we will need to schedule a time to meet again to complete your Supervisor Transfers. 
You will not need to schedule anything on your end. Please give me a moment to check availability."
Fail Session,"It was a pleasure working with you today. Unfortunately, based on our session today, I can’t pass you. I think you will benefit from further practice in the WXYZ Certification script. Please reschedule for another Mock session in Gateway as soon as possible (within 24 hours).

If you don’t see a shift, please check back periodically as the shifts will be added as soon as possible to your Shifts Calendar. You can also check out the test chat room and if we have time, we will post a message – you can come in and we can help you then."
Fail Final Attempt,"Thank you for your time and interest in becoming a phone agent for ACD Direct and it was a pleasure working with you today. Unfortunately, based on our session, I'm unable to pass you. At this time you have exceeded the amount of Mock Call session attempts allowed. We wish you luck in your future endeavors and have a nice day."
Wrong Headset,"It was a pleasure working with you today. Unfortunately, based on our session today, I can’t pass you. A USB headset with a noise cancelling microphone is required to contract with ACD. Please reschedule for another Mock session in Gateway as soon as possible (within 24 hours). If you don’t see a shift, please check back periodically as the shifts will be added as soon as possible to your Shifts Calendar. You can also check out the test chat room and if we have time, we will post a message – you can come in and we can help you then."
